,id,album,track_number,name
341,6dHCM9pW4xvyhbKWkBdmed,The Click,4,Sober Up
351,5TshTIGten6gMBMf8lgbf0,Viva Las Vengeance,1,Viva Las Vengeance
352,18Lvxsm4l6noRNjQW8nS4b,Viva Las Vengeance,2,Middle Of A Breakup
353,2Tg7Tc4H50u11aDpmSRQTB,Viva Las Vengeance,3,Don't Let The Light Go Out
354,2RQ0D9N823H0WT1vSy74RM,Viva Las Vengeance,4,Local God
355,0nf90XrbSz8QJ0RJzyzyD3,Viva Las Vengeance,5,Star Spangled Banger
356,43wVj2ZOEyhIKWKBJWdxT2,Viva Las Vengeance,6,God Killed Rock And Roll
357,61aS3LDHi60ZZr3ZpHG2AP,Viva Las Vengeance,7,Say It Louder
358,5SJdekNLV0K53bTxkP3tyq,Viva Las Vengeance,8,Sugar Soaker
359,5j5C6VYjXlzXRzpY9liMC6,Viva Las Vengeance,9,Something About Maggie
360,6dXgd9fAFuvPZClNaldbLe,Viva Las Vengeance,10,Sad Clown
361,1bk4BhmfH3H9vsBSheCZAP,Viva Las Vengeance,11,All by Yourself
362,0HoAVYfPiPE8NZg7u6aHBT,Viva Las Vengeance,12,Do It To Death
363,3BDxv4ORzOpXAsa4lWVl4i,Pray for the Wicked,1,(Fuck A) Silver Lining
364,76vMKwFtdDDCLcM6zXybjB,Pray for the Wicked,2,Say Amen (Saturday Night)
365,22oEJW6r2rMb9z4IntfyEa,Pray for the Wicked,3,"Hey Look Ma, I Made It"
366,1rqqCSm0Qe4I9rUvWncaom,Pray for the Wicked,4,High Hopes
367,0wdV94AXGRphrbkDWLNzVC,Pray for the Wicked,5,Roaring 20s
368,6PFoEnjp0PAe5siGswjH9i,Pray for the Wicked,6,Dancing's Not a Crime
369,5trCWbYtza0QUxdmF9HAPX,Pray for the Wicked,7,One of the Drunks
370,4hUR3thIs01mQUtVmZFJ8F,Pray for the Wicked,8,The Overpass
371,50Hv5NZIM0puIUoBttjpfb,Pray for the Wicked,9,King of the Clouds
372,18ULKfQl3KpCnklAKFfO2t,Pray for the Wicked,10,Old Fashioned
373,18xmRkPWE0sGUzFyNNAAhN,Pray for the Wicked,11,Dying in LA
374,6cum9a3BtaYIBTPrmqsGdd,All My Friends We're Glorious: Death of a Bachelor Tour Live,1,"Don't Threaten Me with a Good Time - Live at Amway Center, Orlando, FL, 4/14/2017"
375,41HszkNfEE8OKbqermRsgm,All My Friends We're Glorious: Death of a Bachelor Tour Live,2,"LA Devotee - Live at Amway Center, Orlando, FL, 4/14/2017"
376,1tdX9EEKLg4we2BBf8mWzu,All My Friends We're Glorious: Death of a Bachelor Tour Live,3,"Ready to Go (Get Me Out of My Mind) - Live at Amway Center, Orlando, FL, 4/14/2017"
377,02d3MXxsO0AP3DsoJGOaIt,All My Friends We're Glorious: Death of a Bachelor Tour Live,4,"Golden Days - Live at Amway Center, Orlando, FL, 4/14/2017"
378,5lHxUGPPC3wtZH8UQxsFr7,All My Friends We're Glorious: Death of a Bachelor Tour Live,5,"Vegas Lights - Live at Amway Center, Orlando, FL, 4/14/2017"
379,7wnYW5zboAaiHE5KBaVc0Z,All My Friends We're Glorious: Death of a Bachelor Tour Live,6,"A Fever You Can't Sweat Out Medley - Live at Amway Center, Orlando, FL, 4/14/2017"
380,68wbhtYYm11CSO7cZVjfEx,All My Friends We're Glorious: Death of a Bachelor Tour Live,7,"Hallelujah - Live at Amway Center, Orlando, FL, 4/14/2017"
381,7HzfAGGKnYVEHVsdkGUbXu,All My Friends We're Glorious: Death of a Bachelor Tour Live,8,"Nine in the Afternoon - Live at Amway Center, Orlando, FL, 4/14/2017"
382,49heun7OiWwsdhUyoukbBV,All My Friends We're Glorious: Death of a Bachelor Tour Live,9,"Miss Jackson - Live at Amway Center, Orlando, FL, 4/14/2017"
383,3ZvAEbxNItDMXcqbIkC5zc,All My Friends We're Glorious: Death of a Bachelor Tour Live,10,"This Is Gospel - Live at Amway Center, Orlando, FL, 4/14/2017"
384,3VxIsNkzxWQA8sPUT13qeb,All My Friends We're Glorious: Death of a Bachelor Tour Live,11,"Death of a Bachelor - Live at Amway Center, Orlando, FL, 4/14/2017"
385,14u56kXmNRjyWJI28qj4qg,All My Friends We're Glorious: Death of a Bachelor Tour Live,12,"The Ballad of Mona Lisa - Live at Amway Center, Orlando, FL, 4/14/2017"
386,4ub0WswLOa1xf8LMtc03ZS,All My Friends We're Glorious: Death of a Bachelor Tour Live,13,"Movin' Out (Anthony's Song) - Live at Amway Center, Orlando, FL, 4/14/2017"
387,7mZ1A9pbWPvIAkbvcvFgdG,All My Friends We're Glorious: Death of a Bachelor Tour Live,14,"Emperor's New Clothes - Live at Amway Center, Orlando, FL, 4/14/2017"
388,3GHDGjWdd8gL6gRvoQAcuD,All My Friends We're Glorious: Death of a Bachelor Tour Live,15,"Nicotine - Live at Amway Center, Orlando, FL, 4/14/2017"
389,3Xqk2oXSwyCamRW58w6p0O,All My Friends We're Glorious: Death of a Bachelor Tour Live,16,"Crazy = Genius - Live at Amway Center, Orlando, FL, 4/14/2017"
390,4H8LoXbgzwbPotHKaxSH6o,All My Friends We're Glorious: Death of a Bachelor Tour Live,17,"Let's Kill Tonight - Live at Amway Center, Orlando, FL, 4/14/2017"
391,4M7dn3CxwfaUfEZpS4yXj8,All My Friends We're Glorious: Death of a Bachelor Tour Live,18,"Girls / Girls / Boys - Live at Amway Center, Orlando, FL, 4/14/2017"
392,5FEV9pypGEx6ndrF3V0cX9,All My Friends We're Glorious: Death of a Bachelor Tour Live,19,"Bohemian Rhapsody - Live at Amway Center, Orlando, FL, 4/14/2017"
393,15f1eR2oh2fiXLgod096wF,All My Friends We're Glorious: Death of a Bachelor Tour Live,20,"I Write Sins Not Tragedies - Live at Amway Center, Orlando, FL, 4/14/2017"
394,68lKzbhZAMxsDJfYWgjjYf,All My Friends We're Glorious: Death of a Bachelor Tour Live,21,"Victorious - Live at Amway Center, Orlando, FL, 4/14/2017"
395,6od5hFv9IT5JHc7NEF9HRv,Death of a Bachelor,1,Victorious
396,2fh3bZ8jZhMxOcfESE9nQY,Death of a Bachelor,2,Don't Threaten Me with a Good Time
397,6TzJLISIitIzn1WtjDY0Op,Death of a Bachelor,3,Hallelujah
398,3px2rAPu74ltbkf9eZsZ8h,Death of a Bachelor,4,Emperor's New Clothes
399,1BECwm5qkaBwlbfo4kpYx8,Death of a Bachelor,5,Death of a Bachelor
400,6V68ItawQkQlZhYIf1S86C,Death of a Bachelor,6,Crazy = Genius
401,2fmCA13dwQQOGBIbIOWRiJ,Death of a Bachelor,7,LA Devotee
402,3fwKVZ73y7UUGMyR6rVCRa,Death of a Bachelor,8,Golden Days
403,5eoZTdiq4C4aoEfUwAN0ha,Death of a Bachelor,9,"The Good, the Bad and the Dirty"
404,2DgdHcjWmO3qd50RzuBLgZ,Death of a Bachelor,10,House of Memories
405,5j9yOfRB2s6OMS1YwwYiMw,Death of a Bachelor,11,Impossible Year
406,3yZQk5PC52CCmT4ZaTIKvv,"Too Weird to Live, Too Rare to Die!",1,This Is Gospel
407,46Kcradxrva9Dny4lHU1b3,"Too Weird to Live, Too Rare to Die!",2,Miss Jackson (feat. LOLO)
408,0zewUY3RSh8yaV7q66Okem,"Too Weird to Live, Too Rare to Die!",3,Vegas Lights
409,1ozYwEeDttK6iWc1yQS8c4,"Too Weird to Live, Too Rare to Die!",4,Girl That You Love
410,5Q4H1XkVHxQjnrHCUpS61d,"Too Weird to Live, Too Rare to Die!",5,Nicotine
411,2wEjPgOCEczmjlvq60LyQi,"Too Weird to Live, Too Rare to Die!",6,Girls / Girls / Boys
412,2zkXavDV9dw8uR0pfhsBt2,"Too Weird to Live, Too Rare to Die!",7,Casual Affair
413,4NTL7fT4eqfPao94lmqth2,"Too Weird to Live, Too Rare to Die!",8,Far Too Young to Die
414,1zN3CZlafjfEiMR9uXQGrW,"Too Weird to Live, Too Rare to Die!",9,Collar Full
415,78tro1rpoxmqjbjiRRRzoH,"Too Weird to Live, Too Rare to Die!",10,The End of All Things
426,4LASwcEKtUCW7bpohKmBPR,Vices & Virtues,11,I Wanna Be Free
427,7og3LSXygGBzH5CAj14lxs,Vices & Virtues,12,Turn Off the Lights
428,5rLi8B8qgk6qThwRnKHW2P,Vices & Virtues,1,The Ballad of Mona Lisa
429,14uvyd51Ha7FihKHlOtUig,Vices & Virtues,2,Let's Kill Tonight
430,7l9uOhfVJC8Y0c6PXHrgbs,Vices & Virtues,3,Hurricane
431,0k8tcDGLSqUQAeuoOaUJj2,Vices & Virtues,4,Memories
432,62lc21zAcKWs11pbSOabO9,Vices & Virtues,5,Trade Mistakes
433,7m4HUtdXRUHEitLIqbVWxf,Vices & Virtues,6,Ready to Go (Get Me Out of My Mind)
434,5VL7pScLlKe4MbB8EAivgA,Vices & Virtues,7,Always
435,1qRKyMsn18kuIIP25W9byL,Vices & Virtues,8,The Calendar
436,00h6syYCxPKVsInPHXhdZ1,Vices & Virtues,9,Sarah Smiles
437,2KA3lvDwQQiyvuJJvzifGL,Vices & Virtues,10,Nearly Witches (Ever Since We Met...)
448,4U143whRelbK24Wj8UFx20,Vices & Virtues (Deluxe Edition),11,Stall Me
449,2bJWZ16Bx5yqN3m9zgB65L,Vices & Virtues (Deluxe Edition),12,Oh Glory - Demo [Bonus Track]
450,3d8mQn6nZq003tRRMekRFX,Live in Chicago,1,"We're So Starving - Live at Congress Theater, Chicago, IL, 2008"
451,641eTjClhfoX0qHDoXbic8,Live in Chicago,2,"Nine in the Afternoon - Live at Congress Theater, Chicago, IL, 2008"
452,7AuX2oLxWT6skMXtBus0jL,Live in Chicago,3,"But It's Better If You Do - Live at Congress Theater, Chicago, IL, 2008"
453,0F27M27PhMrsEIfMNOG73k,Live in Chicago,4,"Camisado - Live at Congress Theater, Chicago, IL, 2008"
454,7yWH251p5zsOmv6srU1McM,Live in Chicago,5,"She's a Handsome Woman - Live at Congress Theater, Chicago, IL, 2008"
455,1kWmeGAStssgKW1PPPefY1,Live in Chicago,6,"The Only Difference Between Martyrdom and Suicide Is Press Coverage - Live at Congress Theater, Chicago, IL, 2008"
456,5d5jXhgaOF5yBTJbE2791y,Live in Chicago,7,"Behind the Sea - Live at Congress Theater, Chicago, IL, 2008"
457,1IO0vmLJC3xjZK1f9VVX2K,Live in Chicago,8,"Lying Is the Most Fun a Girl Can Have Without Taking Her Clothes Off - Live at Congress Theater, Chicago, IL, 2008"
458,5F4YeuJPBERnEtpfRb9jFV,Live in Chicago,9,"I Constantly Thank God for Esteban - Live at Congress Theater, Chicago, IL, 2008"
459,2qW71gsv6Vv9enc3QxQr4N,Live in Chicago,10,"That Green Gentleman (Things Have Changed) - Live at Congress Theater, Chicago, IL, 2008"
460,0RMOeUWeNDQsAXeq48VF5N,Live in Chicago,11,"There's a Good Reason These Tables Are Numbered Honey, You Just Haven't Thought of It Yet - Live at Congress Theater, Chicago, IL, 2008"
461,1U3rea2stRYGW5dhxA4lzK,Live in Chicago,12,"Folkin' Around - Live at Congress Theater, Chicago, IL, 2008"
462,2c372AGbMIeDFrIfrYP1oD,Live in Chicago,13,"I Write Sins Not Tragedies - Live at Congress Theater, Chicago, IL, 2008"
463,5yBwtNMXAz8yyfd4re8I8m,Live in Chicago,14,"Northern Downpour - Live at Congress Theater, Chicago, IL, 2008"
464,4GbQrx3dxvAM0bQC2WZWms,Live in Chicago,15,"Time to Dance - Live at Congress Theater, Chicago, IL, 2008"
465,5vVyyb0t7HERUIq5tjqIg5,Live in Chicago,16,"Pas de Cheval - Live at Congress Theater, Chicago, IL, 2008"
466,4oZPT2hnige3dpyYttnmcV,Live in Chicago,17,"Mad as Rabbits - Live at Congress Theater, Chicago, IL, 2008"
467,4r8CEZMtp9iElxnw07AXHJ,Live in Chicago,18,Do You Know What I'm Seeing? - Alternate Version
468,0E56lu4IOGOhygjIPC2r1r,Live in Chicago,19,Behind the Sea - Alternate Version
469,5u0tZTbEUR43UZhwQyKsW4,Live in Chicago,20,She Had the World - Alternate Version
