,id,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity
94,3V6lJbJdVTZCLVpuA8r72s,0.264,0.536,0.479,0.0,0.113,-8.609,0.0933,153.62,0.446,52
95,0n56JNrFkvV9PobjydZiSa,0.0774,0.566,0.534,9.52e-06,0.156,-8.833,0.055,161.872,0.594,52
96,5FQPpxOXsvkMN6v18gtpwY,0.0183,0.74,0.517,0.0,0.0558,-6.233,0.0506,139.917,0.698,73
97,7yjLmLdjJHO8KLXm9U6gyq,0.677,0.566,0.354,2.4e-06,0.117,-8.49,0.0276,90.109,0.346,50
98,3sBdf3nxnEC9e2GcdP9d3j,0.0604,0.627,0.64,5.52e-06,0.125,-7.312,0.175,179.819,0.831,57
99,3H4ZrsDezaN37zplSpXUWd,0.0102,0.577,0.542,0.0,0.0778,-7.868,0.0344,86.99,0.486,53
101,6g3XrmNrWVa33dZuxIhMbF,0.00843,0.701,0.547,0.0,0.0987,-8.238,0.0483,140.015,0.4,70
102,4YyBL0KHcqo3LclmmMrl8g,0.38,0.626,0.457,0.0,0.113,-8.464,0.0341,130.844,0.309,53
105,03knpyVZLrGf7s0PnS2tNT,0.0335,0.699,0.513,0.0,0.163,-9.157,0.0696,93.978,0.345,35
108,08Pc5QQHr7mSaIx0SfbC2k,0.0779,0.568,0.522,1.21e-05,0.104,-9.336,0.0568,161.902,0.595,27
128,4Mmu6UlLM5xA7wcSEVwUJW,0.38,0.626,0.457,0.0,0.113,-8.464,0.0341,130.844,0.309,35
137,2HYCCnLTeZUsAKv7l6fFmZ,0.0604,0.627,0.64,5.52e-06,0.125,-7.312,0.175,179.819,0.831,37
142,5tVmNtMvCCABF6u2IyLLjX,0.205,0.373,0.569,4.19e-05,0.377,-7.846,0.0515,89.918,0.274,51
143,7hBRNyuEkGR4qj5nTDGTry,0.0732,0.707,0.462,0.0,0.199,-6.696,0.117,83.994,0.547,55
144,17FK4etx1u2NK60cptINMS,0.0465,0.626,0.639,0.0,0.161,-5.62,0.085,144.009,0.638,66
145,61vlvG3pr4djrXPtHPdXII,0.142,0.629,0.583,0.0,0.118,-6.274,0.0415,147.036,0.492,58
146,4h1VLpsN8tl5J1c8nsrUCa,0.00321,0.451,0.661,0.0,0.108,-6.961,0.0976,180.133,0.444,56
147,5MKfN1QC8ZWKeQGDFJSxaq,0.859,0.431,0.19,0.0,0.1,-9.362,0.0371,76.925,0.128,48
148,3HYgLawcb8IUGHHlHUQffN,0.0167,0.646,0.626,8.7e-06,0.112,-6.351,0.0729,83.981,0.372,51
149,3VygfAvvgVaJUeaBUSzlZu,0.0557,0.528,0.727,0.0,0.176,-5.739,0.179,155.927,0.212,62
150,4Z84bBOAu0dLVd2WimB3re,0.0198,0.59,0.682,0.0,0.178,-7.223,0.0564,125.055,0.665,47
151,04gQHzS8FLPoNdnRKw4jDJ,0.0438,0.284,0.609,0.0,0.177,-6.033,0.123,85.386,0.521,55
152,4Dd0v2LBhMpqOwhmeU4yBJ,0.789,0.633,0.217,0.0,0.293,-9.717,0.045,94.13,0.546,53
153,392snxgncTS2SKFgz64Lj3,0.0956,0.539,0.517,0.0,0.111,-6.999,0.0272,82.987,0.408,50
178,2c0YzXeDixaxkzk8Ubmy8n,0.205,0.373,0.569,4.19e-05,0.377,-7.846,0.0515,89.918,0.274,24
181,16qpENC4HvTWfwbVLXFsXS,0.142,0.629,0.583,0.0,0.118,-6.274,0.0415,147.036,0.492,28
183,5UYzdmMBbWp9vEnu9UjIEK,0.859,0.431,0.19,0.0,0.1,-9.362,0.0371,76.925,0.128,23
189,7ljUD8ZyiH3OnHtuyOKPGS,0.0956,0.539,0.517,0.0,0.111,-6.999,0.0272,82.987,0.408,24
227,0TkJIyL69RAUIbNwGub6uR,0.0364,0.454,0.66,0.0,0.181,-4.357,0.168,184.353,0.568,69
228,2sDjsX3RCmWXSxRntg7LXz,0.466,0.653,0.425,0.0,0.273,-6.253,0.0264,101.795,0.484,44
229,7elu8HJ9Wflc1hbuKxz966,0.923,0.588,0.337,2.63e-06,0.159,-9.829,0.0321,95.981,0.317,43
230,0Bxk3MUYZnmzflsoDNwSvW,0.639,0.811,0.365,0.0,0.224,-6.943,0.0291,97.941,0.539,54
244,4u8Gkqyg87iGSW3hQbbnQZ,0.0364,0.454,0.66,0.0,0.181,-4.357,0.168,184.353,0.568,64
298,6IOqueKySssUtDYBiCvTh7,0.639,0.811,0.365,0.0,0.224,-6.943,0.0291,97.941,0.539,27
300,0dgrFwOa0RrFzWcM0azTzx,0.0858,0.287,0.473,4.4e-05,0.383,-3.551,0.034,186.283,0.577,67
325,5tRqpgla6zqUn78qx2nkOy,0.132,0.381,0.65,1.19e-06,0.0368,-4.266,0.038,132.184,0.312,49
327,5DZwnLxHjWTZaz9jOpRhxb,0.118,0.67,0.643,0.0,0.192,-4.553,0.0465,123.979,0.703,67
328,5jiYx70OBzEI99jx1Gn3FN,0.284,0.648,0.62,0.0,0.0833,-4.938,0.0276,93.011,0.772,64
329,6iUlQohL4sfM80J4DHidy7,0.219,0.556,0.681,0.0,0.117,-4.237,0.142,156.137,0.663,52
330,1vJotCbvBmd3dd0vob8TQl,0.166,0.605,0.522,0.0,0.139,-5.505,0.0361,97.028,0.459,52
331,50tFz7Mcu04Pd6bi1FfXbr,0.233,0.701,0.546,0.0,0.467,-4.823,0.0395,92.025,0.582,49
332,42CSNROh0FNSx04HxpXyue,0.31,0.66,0.682,0.0,0.333,-4.297,0.134,96.029,0.675,49
333,7eVViKSEelv49Du8wQ2IkA,0.744,0.591,0.203,0.0,0.0913,-10.736,0.242,136.042,0.365,42
334,2Ulnsoz9xPe1GO6vQh3x3m,0.00179,0.635,0.863,0.0,0.32,-4.204,0.0613,94.945,0.654,56
335,2fmlkobTesiSyyzVYa6nkX,0.0427,0.486,0.733,0.0,0.162,-3.511,0.0409,94.948,0.468,56
336,4qvrdCZM49KR1nSHaYCiQ6,0.0624,0.637,0.607,0.0,0.567,-3.645,0.0405,124.876,0.665,50
337,0ouGDyldWWfeqfTYxX1bTZ,0.00384,0.612,0.725,0.0,0.0473,-4.668,0.0653,91.059,0.386,57
341,6dHCM9pW4xvyhbKWkBdmed,0.277,0.647,0.616,0.0,0.0816,-4.948,0.0272,93.019,0.79,47
351,5TshTIGten6gMBMf8lgbf0,1.68e-05,0.209,0.826,0.0337,0.112,-5.458,0.0709,153.879,0.385,57
352,18Lvxsm4l6noRNjQW8nS4b,4.46e-05,0.437,0.803,0.0164,0.107,-4.791,0.04,147.507,0.735,56
