,artist,album,track_number,id,name,uri,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity
50,아이유,Last Fantasy,3,3kgK9B823Y50ckCgBGDNTu,Holding A Star In My Heart (feat. Kim Gwang-Jin),spotify:track:3kgK9B823Y50ckCgBGDNTu,0.793,0.428,0.208,0.0,0.0891,-7.8,0.0298,65.992,0.168,29
51,아이유,Last Fantasy,4,37S86pw74OH8j96ZmMnrpR,YOU&I,spotify:track:37S86pw74OH8j96ZmMnrpR,0.286,0.636,0.9,1.47e-06,0.0982,-3.568,0.0571,134.004,0.686,52
52,아이유,Last Fantasy,5,36PSn3k7YPTVWN5YdEpO4x,Wallpaper Pattern,spotify:track:36PSn3k7YPTVWN5YdEpO4x,0.622,0.705,0.394,0.0,0.0756,-6.155,0.0302,99.958,0.304,28
53,아이유,Last Fantasy,6,7DC64C720P0UiWasMXpIiS,Uncle (feat. Lee Juck),spotify:track:7DC64C720P0UiWasMXpIiS,0.165,0.643,0.836,1.26e-05,0.401,-4.39,0.0452,117.926,0.652,26
54,아이유,Last Fantasy,7,0XVcGTecjLl6p8Am7nx2Ch,Wisdom Tooth,spotify:track:0XVcGTecjLl6p8Am7nx2Ch,0.368,0.582,0.747,0.0,0.278,-4.12,0.0538,123.953,0.461,26
55,아이유,Last Fantasy,8,0VhAW8noO9tNKg5mwaDjIC,Everything's Alright (feat. Kim Hyun-Cheol),spotify:track:0VhAW8noO9tNKg5mwaDjIC,0.322,0.683,0.726,0.0,0.129,-3.881,0.0321,119.944,0.698,27
56,아이유,Last Fantasy,9,3Rceql5j6lhnygLVthRbcD,Last Fantasy,spotify:track:3Rceql5j6lhnygLVthRbcD,0.814,0.323,0.414,3.32e-05,0.14,-5.66,0.0305,116.045,0.234,28
57,아이유,Last Fantasy,10,6DumtENJgebiGQbUuY0wjU,Teacher (feat. Ra.D),spotify:track:6DumtENJgebiGQbUuY0wjU,0.621,0.403,0.664,0.0,0.253,-4.997,0.0499,93.086,0.654,26
58,아이유,Last Fantasy,11,5ysnDmK9qdG4oCNZYeVNSy,The Abandoned,spotify:track:5ysnDmK9qdG4oCNZYeVNSy,0.414,0.357,0.236,2.42e-05,0.118,-11.06,0.0354,76.443,0.101,25
59,아이유,Last Fantasy,12,3K2qsjNSynFOx2XHTHGXT2,4AM,spotify:track:3K2qsjNSynFOx2XHTHGXT2,0.267,0.755,0.421,4.63e-06,0.122,-7.726,0.0405,84.976,0.417,27
60,아이유,Last Fantasy,13,76xG9kPexjMDPEPUpojsms,L'amant,spotify:track:76xG9kPexjMDPEPUpojsms,0.78,0.439,0.201,9.41e-05,0.117,-8.936,0.0321,73.583,0.101,25
61,아이유,Growing Up,1,1dIMDyUh1tC5uuESauhEM6,Looking at you,spotify:track:1dIMDyUh1tC5uuESauhEM6,0.068,0.662,0.711,0.0,0.2,-6.446,0.0628,93.048,0.514,27
62,아이유,Growing Up,2,6i7mQOXDa23mOJb5TjPqQc,Boo,spotify:track:6i7mQOXDa23mOJb5TjPqQc,0.0163,0.753,0.779,0.0,0.327,-4.021,0.0361,124.034,0.788,31
63,아이유,Growing Up,3,0OhsHgLWuhP9LG6Xv24HGf,pitiful,spotify:track:0OhsHgLWuhP9LG6Xv24HGf,0.791,0.51,0.427,0.0,0.101,-6.804,0.0407,133.995,0.159,27
64,아이유,Growing Up,4,0kW9kEbh9rExtpZzBzAcWU,A Dreamer,spotify:track:0kW9kEbh9rExtpZzBzAcWU,0.117,0.581,0.694,0.0,0.0959,-5.354,0.0317,90.057,0.305,30
65,아이유,Growing Up,5,2gUAoK1JKLTbXxTBM1QP3M,Every Sweet Day,spotify:track:2gUAoK1JKLTbXxTBM1QP3M,0.339,0.846,0.494,0.0,0.0782,-7.45,0.0425,121.932,0.765,27
66,아이유,Growing Up,6,7w1f6DUmGsW3esPlS2INpv,lost child,spotify:track:7w1f6DUmGsW3esPlS2INpv,0.501,0.588,0.843,0.0,0.138,-2.855,0.0394,123.914,0.183,32
67,아이유,Growing Up,7,5cqBNFtErxeN0Xg746ZuPM,Four Without Me,spotify:track:5cqBNFtErxeN0Xg746ZuPM,0.144,0.785,0.787,0.0,0.107,-5.779,0.0698,144.051,0.895,25
68,아이유,Growing Up,8,3MHZPi5TciibKTJwWdfWQD,Well… (feat. Mario),spotify:track:3MHZPi5TciibKTJwWdfWQD,0.175,0.831,0.84,0.0,0.337,-4.655,0.0964,133.954,0.796,25
69,아이유,Growing Up,9,4bzva4tAY7JK7GauSMwDOQ,Graduation Day,spotify:track:4bzva4tAY7JK7GauSMwDOQ,0.0957,0.678,0.63,1.36e-05,0.359,-5.738,0.0508,148.016,0.907,26
70,아이유,Growing Up,10,6vVDZF6z5OjDkBgY3MPGpL,Feel So Good,spotify:track:6vVDZF6z5OjDkBgY3MPGpL,0.606,0.8,0.38,0.0,0.0958,-10.116,0.0322,105.02,0.64,29
71,아이유,Growing Up,11,68IzxKvdUV0a6pgWbxSLeu,ugly duckling,spotify:track:68IzxKvdUV0a6pgWbxSLeu,0.787,0.672,0.348,0.0,0.107,-8.565,0.0272,89.953,0.239,30
72,아이유,Growing Up,12,5B1qX4IIndDU8YQXn64eBV,Face To Face (After Looking At),spotify:track:5B1qX4IIndDU8YQXn64eBV,0.101,0.66,0.718,0.0,0.281,-6.68,0.0531,93.029,0.55,24
73,아이유,Growing Up,13,4nMyJMbgs2g8ed3mcwgm7j,A Lost Child (ACOUSTIC VER.),spotify:track:4nMyJMbgs2g8ed3mcwgm7j,0.556,0.535,0.457,0.0,0.122,-5.881,0.0276,123.613,0.302,26
74,아이유,Growing Up,14,6zpiGeoHYRF5vtrboE3rAC,Well… (ROCK VER.),spotify:track:6zpiGeoHYRF5vtrboE3rAC,0.0174,0.478,0.889,0.0,0.374,-2.61,0.0507,150.023,0.559,32
75,아이유,Growing Up,15,41GBuYVdCtmzwS8JGVUATP,Boo (Instrumental),spotify:track:41GBuYVdCtmzwS8JGVUATP,0.000142,0.65,0.71,0.79,0.0539,-6.488,0.0439,124.035,0.631,18
76,아이유,Growing Up,16,4QpDArWvDAL74OWrz9l1ct,pitiful (Instrumental),spotify:track:4QpDArWvDAL74OWrz9l1ct,0.655,0.478,0.363,0.853,0.11,-11.257,0.0315,133.929,0.116,18
78,윤하,YOUNHA 6th Album Repackage 'END THEORY : Final Edition',2,1850JUGkOSG1kmo1gQRef1,c/2022YH,spotify:track:1850JUGkOSG1kmo1gQRef1,0.00204,0.392,0.862,2.22e-06,0.115,-2.225,0.0552,92.543,0.455,31
81,윤하,YOUNHA 6th Album Repackage 'END THEORY : Final Edition',5,7FueajbkcnDmxv8TBbMtaU,Tik-Tok,spotify:track:7FueajbkcnDmxv8TBbMtaU,0.614,0.566,0.569,0.0,0.121,-5.209,0.0397,85.939,0.368,22
86,윤하,YOUNHA 6th Album Repackage 'END THEORY : Final Edition',10,4sSYbWHfO6vmys26udbMyr,Here,spotify:track:4sSYbWHfO6vmys26udbMyr,0.728,0.222,0.209,0.138,0.0872,-11.415,0.0317,130.991,0.0753,21
87,윤하,YOUNHA 6th Album Repackage 'END THEORY : Final Edition',11,6RBziRcDeiho3iTPdtEeg9,Event Horizon,spotify:track:6RBziRcDeiho3iTPdtEeg9,0.0758,0.534,0.861,0.0,0.167,-3.177,0.0361,97.977,0.286,42
88,윤하,YOUNHA 6th Album Repackage 'END THEORY : Final Edition',12,0tpjRwtGqTc4SefGUSE9rL,Black hole,spotify:track:0tpjRwtGqTc4SefGUSE9rL,0.0862,0.43,0.718,0.0,0.108,-4.069,0.0637,160.041,0.193,32
89,윤하,YOUNHA 6th Album Repackage 'END THEORY : Final Edition',13,3JuXBT3OZZUKEELEfsP2HI,Savior,spotify:track:3JuXBT3OZZUKEELEfsP2HI,0.625,0.51,0.429,0.0,0.0938,-4.982,0.0281,100.015,0.184,26
91,윤하,YOUNHA 6th Album 'END THEORY',1,19hTNZuj8E8LvegCoBqgoY,P.R.R.W.,spotify:track:19hTNZuj8E8LvegCoBqgoY,0.0237,0.469,0.847,0.0,0.3,-4.094,0.0596,139.851,0.198,30
92,윤하,YOUNHA 6th Album 'END THEORY',2,3JCF1WW0eOVkQslR1hKoN8,BIG PICTURE,spotify:track:3JCF1WW0eOVkQslR1hKoN8,0.208,0.578,0.66,0.0,0.12,-4.355,0.0314,105.056,0.532,27
93,윤하,YOUNHA 6th Album 'END THEORY',3,7tOsgOjrzBVQqyaMDBlZV8,Oort Cloud,spotify:track:7tOsgOjrzBVQqyaMDBlZV8,0.0224,0.722,0.822,2.14e-06,0.0882,-4.355,0.0648,127.994,0.684,37
94,윤하,YOUNHA 6th Album 'END THEORY',4,1hzZYkGXojf53WI5ceVLWZ,Wish,spotify:track:1hzZYkGXojf53WI5ceVLWZ,0.0741,0.565,0.642,9.36e-06,0.247,-3.599,0.0334,105.144,0.351,27
95,윤하,YOUNHA 6th Album 'END THEORY',5,6uPVSw1gKdv92YnTNldQkl,How U doing,spotify:track:6uPVSw1gKdv92YnTNldQkl,0.398,0.357,0.579,2.33e-05,0.0992,-4.764,0.0301,159.883,0.326,28
96,윤하,YOUNHA 6th Album 'END THEORY',6,2NqbiaxTnrIN4V4wPtvals,Highlight,spotify:track:2NqbiaxTnrIN4V4wPtvals,0.548,0.523,0.456,0.0,0.0771,-4.539,0.0284,82.083,0.407,27
98,윤하,YOUNHA 6th Album 'END THEORY',8,7gJO1uYHChpSS3jZzUvf2W,Truly,spotify:track:7gJO1uYHChpSS3jZzUvf2W,0.52,0.476,0.514,0.0,0.216,-7.026,0.0437,173.575,0.395,25
